,s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,notes,pl,si,va,te,co,or,sh,po,li,ar,re,sp,ma,ki,rf,tx
25,27,Vija Celmins,Ocean ,conceptual,Tate,Latvia,False,print,"print, lithograph on paper",32 x 42 cm,1975,"more ambiguity - is this a photo - & emptiness. Surface of ocean, no horizon, depth of space",0,2,2,4,0,0,4,0,0,5,5,3,False,False,False,False
26,28,Dennis Creffield,Norwich from the East End: High Summer ,representation,Tate,UK,False,drawing,"drawing, charcoal on paper",102 x 93 cm,1987,"standing up or falling, lines don't join together much to create shapes, overlapping, gestural markmaking",4,0,4,4,0,2,1,0,5,5,3,0,False,False,False,False
27,29,Tacita Dean,The Roaring Forties: Seven Boards in Seven Days,conceptual,Tate,UK,True,drawing,"drawing, chalk on blackboard",14 boards each 244 x 244 cm,1997,"words, arrows, images, chalk texture, white on black, traces, erasure",2,0,4,4,0,1,4,0,5,3,3,0,False,False,False,True
28,30,Peter Doig,Echo Lake ,representation,Tate,Scotland,False,painting,"paint, oil on canvas",231 x 361 x 5 cm,1998,"what's going on, figure w/ hands on head, strange light",2,0,4,2,1,0,4,0,0,5,5,3,False,False,True,False
29,31,Leonardo Drew,Number 135,abstraction,Sikkema Jenkins,America,False,installation,"installation, wood and mixed media",457 x 1748 x 160 cm,2009,"scale: sheer size of work, & force of wood sticking out on top left, will it fall off, wall installation seems to be part of a floor sited on wall, decay",2,1,0,3,0,5,0,0,3,5,0,5,False,False,False,False
30,32,Marcel Duchamp,3 stoppages étalon (3 Standard Stoppages),conceptual,Tate,France,False,sculpture,"sculpture, wood, glass & paint on canvas",40 x 130 x 90 cm,1913,"chance: act of dropping 3 threads from a height equal to their length, cut wooden rulers to record the shape of each, 'preserved chance' ",4,0,0,0,0,0,4,0,0,5,0,5,False,False,False,False
31,33,Marlene Dumas,Lucy ,representation,Tate,South Africa,False,painting,"painting, oil on canvas",110 x 130 x 2 cm,2004,"uncertainty as to whether the person is dead or alive, face drained of color, yellows",4,1,4,1,1,4,4,0,0,5,5,0,False,False,False,False
32,34,Max Ernst,Celebes ,surrealism,Tate,Germany,False,painting,"painting, oil on canvas",125 x 108 cm,1921,"ambiguous -combination of objects together, fish at top in 'sky' etc",4,0,0,1,0,0,4,0,0,5,5,0,False,False,False,False
33,35,Öyvind Fahlström,"Sketch for World Map Part 1 (Americas, Pacific) ",conceptual,Tate,Brazil,True,print,"print, lithograph on paper",89 x 102 cm,1972,representational play with expectation of realistic map,4,2,2,2,0,2,3,0,5,3,5,0,True,False,False,True
34,36,Jean Fautrier,Head of a Hostage ,abstraction,Tate,France,False,sculpture,"sculpture, lead on marble base",54 x 30 x 31 cm,1943,"very textural, hard to read what this is,  is this a head?",0,0,2,4,0,0,4,0,0,5,0,5,False,False,False,False
35,37,León Ferrari,Toilet ,postminimal,Tate,Argentine,False,print,"print, blueprint on paper",100 x 100 cm,1982,"puzzling plan of multiple, repeated, letraset icons, labyrinthine, complex, map, spaces, multiple recurring details, hard to tell what it is",4,2,1,1,0,0,4,5,5,0,0,0,True,False,False,False
36,38,François Louis Thomas Francia,A Shipwreck ,representation,Tate,France,False,painting,"painting, watercolour on paper",19 x 28 cm,early 1800s,"uncertainty in terms of content, will the people on the ship survive",4,0,1,1,0,2,4,0,0,5,5,3,False,False,False,False
37,39,Sam Francis,Painting ,abstraction,Tate,America,False,painting,"painting, watercolour on paper",63 x 49 cm,1957,"uncertainty in terms of handling of paint, tentative, drips",2,0,2,4,0,2,4,0,5,3,0,0,False,False,False,False
38,40,Helen Frankenthaler,Mirabelle ,abstraction,Tate,America,False,print,"print, lithograph on paper",123 x 73 cm,1990,"suggestion of anti-gravity, hard to define what it is, textural, suspended shape not fully opaque",4,0,1,2,0,2,4,0,3,5,0,0,False,False,False,False
39,41,Giuseppe Pinot-Gallizio,Industrial Painting ,abstraction,Tate,Italy,False,sculpture,"sculpture, monoprinted oil, acrylic, ink on canvas",Canvas roll approx 2255 cm long,1958,"hanging canvas - suspended roll of painted canvas just off the floor, invented chemical techniques, huge canvases",4,0,0,2,0,1,1,0,0,5,0,5,False,False,False,False
40,42,Gaspar Gasparian ,Mediunic,modernism,Tate,Brazil,False,photography,"photo, gelatin silver print on paper",40 x 29 cm,1952,"fragmented, split object, reconfigured, unconventional darkroom techniques, where is the object? behind glass?",5,0,2,0,0,0,2,0,3,5,5,0,False,False,False,False
41,43,Sam Gilliam,Simmering ,abstraction,Tate,America,False,sculpture,"sculpture, acrylic on canvas and leather string",216 x 135 cm,1970,"is this a painting, why is it not on a stretcher, suspended more like a cloak",4,0,0,2,0,4,2,0,0,5,0,5,False,False,False,False
42,44,Fernanda Gomes,Untitled ,postminimal,Tate,Brazil,False,installation,"installation, wood, paint & lacquer",198 x 200 x 10 cm,2013,"blank wall space w/ select lines / shapes, different sizes, what is it? empty space activated inbetween lines. Exact placing of basic elements on the wall in relation to the wall, floor is vital for the sense of what this piece communicates ",5,2,1,0,0,2,1,0,5,5,0,5,False,False,False,False
43,45,Arshile Gorky,Untitled,abstraction,Cleveland Museum of Art,Armenia / America,False,painting,"painting, oil & graphite on canvas",50 x 64 cm,1944,"quality of thin paint, wash, shapes, drips, areas of bare canvas, handdrawn gestures",2,2,4,4,0,2,4,0,3,5,3,3,False,False,False,False
44,46,Giorgio Griffa,Segni orizzontali ,abstraction,Tate,Italy,False,painting,"painting, acrylic on canvas",193 x 149 cm,1975,"canvas hung, not stretched, & fold marks created, general simplicity, suggestion, tentativeness, angled paint lines stop halfway through a row",4,0,1,4,0,2,1,0,5,3,0,5,False,False,False,False
45,47,Jan Groth,"Drawing, Untitled ",abstraction,Tate,Norway,False,drawing,"drawing, crayon on paper",63 x 88 cm,1971,"handdrawn lines, varying weights, position on surface, emptiness",4,2,1,4,0,2,1,0,5,0,0,0,False,False,False,False
46,48,Philip Guston,Black Sea,,Tate,American,False,painting,"painting, oil on canvas",173 x 297 cm,1977,"isolated object, painterly handling, semi-abstract, strange",3,4,1,3,0,0,4,0,3,5,3,3,False,False,False,False
47,49,Hans Hartung,T1963-R6,abstraction,Tate,German-French,False,painting,"painting, acrylic on canvas",180 x 141 cm,1963,"markmaking, scratched into paint in particular area, looks like hair, but image doesn't seem to be head, haunting",4,0,2,4,2,2,2,0,5,3,0,0,False,False,False,False
48,50,Eberhard Havekost,Ghost 1 ,representation,Tate,German,False,painting,"painting, oil on canvas",150 x 80 x 2 cm,2004,"back view of figure, clothing, lack of information, generalized, hazy quality of paint handling, enigmatic",4,0,1,2,0,0,4,0,0,5,5,0,False,False,False,False
49,51,Stanley William Hayter,Ophelia,abstraction,Tate,UK,False,painting,"painting, oil, casein tempera & gesso on canvas",100 x 145 cm,1936,"placing of particular color shapes & lines, odd, multiple viewpoints, sizes, can't tell what things are, where they are in space",4,4,0,0,0,2,4,0,3,5,0,0,False,False,False,False
50,52,Tim Head,Ambidextrous ,conceptual,Tate,UK,False,photography,"photo, color on paper",24 x 24 cm,1974,"playing w/ ambiguity & uncertainty of what something is, mirror-image illusion: mirror held by a right hand reflects an identical mirror held by a left hand",4,2,0,0,0,4,2,0,0,5,5,3,False,False,True,False
51,53,Nigel Henderson,Untitled No. 8 (Shattered Glass) ,collage,Tate,UK,False,photography,"photo, collage, gelatin silver print & ink on paper",121 x 121 cm,1959,"collage of multiple images of shattered glass, different orientations & sizes, hard to tell scale, collage useful tool for ambiguity",1,1,3,4,0,4,2,0,5,3,3,0,False,False,False,False
52,54,Anthony Hernandez,Rome #17 ,representation,Tate,America,False,photography,photo on paper,100 x 99 cm,1999,"what is it? view up an elevator shaft in an unfinished building, repetition",2,4,0,1,0,4,3,0,5,5,5,3,False,False,False,False
53,55,Eva Hesse,No Title ,postminimal,Whitney,America,False,sculpture,"sculpture, latex, rope, string, and wire",dimensions variable (installed in room),1970,"hanging weighty line and repetition, gravity, suspension, decay, materials, handmade quality, repetition",4,1,0,3,0,4,2,0,5,0,0,5,False,False,False,False
54,56,Charline von Heyl,Twelve Thirty ,conceptual,Petzel Gallery,America,False,painting,"painting, acrylic on canvas",218 x 208 cm,2005,"layering of 2 systems, spaces, different weights of lines, values, sizes, sense of web, plays w/ digital & painting space & disorienting viewer",3,4,3,0,0,4,2,0,5,3,0,0,False,False,False,False
55,57,Nicholas Hlobo,Balindile 1,postmod,Tate,South Africa,False,sculpture,"sculpture, rubber inner tubes, steel, hosepipes, ribbon",dimensions variable,2012,"line connecting 3 shapes, ambiguous, evocative, anthropomorphic ",1,0,1,3,0,3,4,0,5,3,0,5,False,False,False,False
56,58,Robert Holyhead,Untitled (Rift),abstraction,robertholyhead.com (has work in Tate),UK,False,painting,"painting, oil on canvas",51 x 36 cm,2014,"repeated painted shape, doubling, but not quite, ""ordered and ÛÏrationalÛ objects, but located in an uncertain place",5,0,2,0,0,2,3,0,0,5,0,0,False,False,False,False
57,59,Rebecca Horn ,Concert for Anarchy,postmod,Tate,Germany,False,installation,"installation, piano, hydraulic rams & compressor",grand piano,1990,"movement: suspending heavy piano from ceiling, repeated sound cycle of lid opening & keys fanning out",4,2,0,1,0,4,4,0,5,5,5,5,False,True,False,False
58,60,Rebecca Horn ,Landscape of the Golem II ,postmod,Sean Kelly Gallery,Germany,False,painting,"painting, acrylic on paper",40 x 30 cm,2010,"floating, ambiguous textural shapes and lines, odd space created",4,2,2,4,0,1,4,0,3,5,0,3,False,False,False,False
59,61,Roni Horn,Then 2,conceptual,Hauser & Wirth Gallery,America,False,drawing,"drawing, blue and red pigment and varnish on paper",221 x 257 cm,2006,"floating short lines grouped into almost symbols, in space, reassembled, collage-like, hard to grasp",3,0,0,0,0,4,3,3,5,0,0,0,False,False,False,False
60,62,Shirazeh Houshiary,Vapour,postmod,Lehmann Maupin Gallery,Iran,False,painting,"painting, pencil & aquacryl on canvas & aluminum",270 x 190 cm,2010,"undulating surface, repeated color pencil marks, more in center & darker color, seeming layers of marks/lines",2,2,3,3,1,4,0,3,5,5,0,3,False,False,False,False
61,63,Tess Jaray,Cupola Blue ,abstraction,Karsten Schubert Gallery,UK,False,painting,"painting, oil on canvas",183 ÌÑ 152 cm,1963,"repetition, close to mirror image, hard to tell what the exact space is",2,0,0,0,0,5,2,0,5,5,3,3,False,False,False,False
62,64,Frank Humphrey Sinkler Jennings,Swiss Roll ,,Tate,UK,False,painting,"painting, oil paint on canvas on board",35 x 45 cm,1939,"suggested movement of falling object painted in air in front of landscape, gravity, strange combination. Placement of swiss roll and its large size in relation to mountain landscape creates sense of gravity. ",5,2,1,0,0,0,2,0,0,5,5,3,False,False,False,False
63,65,Asger Jorn,Letter to my Son ,COBRA,Tate,Denmark,False,painting,"painting, oil on canvas",130 x 196 cm,1957,"paint drawn w/ energetic line, agitated painted marks",1,0,0,4,2,0,2,0,5,3,5,0,False,False,False,False
64,66,Isaac Julien,Vagabondia ,conceptual,Tate,UK,False,video_film,"video, 2 back projections, 7 mins",display dimensions variable,2000,video still - interesting because same image seen twice: different paths,4,0,0,0,0,1,1,0,0,5,5,3,False,False,True,False
65,67,Linda Karshan,Untitled ,abstraction,art-3gallery.com (has work in Tate),America,False,drawing,"drawing, charcoal on paper",76 x 56 cm,1994,"markmaking, searching quality, overlayered, variations on similar shape",0,0,1,2,0,1,5,0,5,0,0,0,False,False,False,False
66,68,Barbara Kasten,Untitled 13,conceptual,Tate,America,False,photography,"photo, gelatin silver print on paper",41 x 51 cm,1979,"objects & prints layered, partial photogram, uses relative sizes, light box outline & darker outlines, semi-translucent, multiple orientations ",2,1,1,0,0,4,0,0,5,3,3,3,False,False,True,False
67,69,György Kepes,Leaf and Prism ,,Tate,Hungary,False,photography,"photo, gelatin silver print on paper",35 x 28 cm,1938,"shadow on parts of a whole leaf shape, hard to understand, if the light falling on the leaf shape was changed to be a consistent one-value, the reading of space and the subsequent uncertainty of what this is, how it was done and most importantly, what the space is, would change.",3,0,5,2,0,0,1,0,3,5,5,3,False,False,True,False
68,70,Guillermo Kuitca,Untitled,postminimal,Sperone Westwater,Argentina,False,painting,"painting, oil on canvas",45 x 55 cm,2013,"shape facing in different directions, almost arrows pointing in opposite ways, hard to tell what it is ",0,1,1,1,0,2,5,0,0,5,0,0,False,False,False,False
69,71,Yayoi Kusama,Infinity Mirrored Room-Gleaming Lights of the Soul    ,postmod,David Zwirner Gallery,Japan,False,installation,"installation, wood, metal, mirrors, acrylic panel, LED lighting, water",room size,2008,"different size dots, use of reflection, water, LED lighting, creates repetition, hard to comprehend space",3,4,4,0,2,0,1,5,0,0,5,5,False,False,True,False
70,72,Peter Lanyon,Thermal ,abstraction,Tate,UK,False,painting,"painting, oil on canvas",183 x 152 cm,1960,"overlayered paint, scraped surface, lines & marks from different directions, markmaking, sense of material, hard to tell what things are",3,0,3,4,0,0,1,0,5,5,0,3,False,False,False,False
71,73,Julio Le Parc,"Continual Mobile, Continual Light ",constructivism,Tate,Argentina,False,installation,"installation, painted wood, aluminium & nylon thread - kinetic",158 x 160 x 51 cm,1963,"kinetic relief - mirror-plate squares hung on threads, mirrors / reflections, moved by air currents, shadows, Û÷movementÛª, Û÷indeterminacyÛª, Û÷unpredictabilityÛª",4,1,1,1,0,4,0,0,5,5,0,5,False,True,True,False
72,74,Lee Bul,Souterrain,,Lehmann Maupin Gallery,South Korea,False,sculpture,"sculpture, plywood on wooden frame, acrylic, mirror, alkyd paint",274 x 360 x 480 cm,2012,"use of mirrors/ reflection, hard to ascertain space & what it is, open structure, repetition, multiple parts",4,0,4,4,0,3,2,0,3,5,5,5,False,False,True,False
73,75,Lee Ufan,From Line ,minimalism,Tate,Korea,False,painting,"painting, oil & glue on canvas",182 x 228 cm,1978,"fading out parallel paint lines, handdrawn quality of marks, yellow almost erased lines seem to glow and absorb blue lines",2,0,5,2,2,1,0,0,5,0,0,0,False,False,False,False
74,76,Liliane Lijn,Liquid Reflections 2nd Series ,abstraction,lilianelijn.com (and Tate),America,False,installation,"installation, acrylic drum w/ water, turntable, projector lamp, acrylic balls",84 x 140 x 114 cm,1968,"kinetic, motion, light, layers, suspension, reflection",4,1,4,4,1,4,1,5,0,5,0,5,False,True,True,False
75,77,El Lissitzky,Troublemaker ,suprematism,Tate,Russia,False,print,"print, lithograph on paper",51 x 43 cm,1923,"specific unusual shapes, piled on top of each other, sited on empty space",4,1,0,0,0,4,4,0,0,5,0,0,False,False,False,False
76,78,Heinz Mack,Light Dynamo ,kinetic art,Tate,Germany,False,sculpture,"sculpture, aluminium, glass, wood & motor",58 x 57 x 22 cm,1963,"optical illusions created thro materials & movement, when piece is turned on see rippling wave movements undulating across disc w/ reed pattern, lines constantly reforming geometries",2,0,2,2,0,5,0,0,5,5,0,5,False,True,True,False
77,79,René Magritte,Man with a Newspaper ,surrealism,Tate,Belgium,False,painting,"painting, oil on canvas",116 x 81 cm,1928,"what is going on? 4 panels - multiple, repeated scene, w/, w/out figure - disquietening. Placement vital here in a literal way.",5,0,1,0,0,0,3,0,0,5,5,3,False,False,False,False
78,80,Kazimir Malevich,Suprematism ,suprematism,Tate,Russia,False,painting,"painting, oil on canvas",88 ÌÑ 72 cm,1915,"placement of different shapes at different angles, balance, spaces suggests movement",4,1,0,0,0,4,4,0,0,5,0,0,False,False,False,False
79,81,Antoni Malinowski ,It's so green outside it is difficult to leave the window,abstraction,Camden Arts Center (Tate also),Poland,False,painting,"painting, acrylic on glass",30 x 21 x 1 cm,2014,"repetitive marks in specific direction in specific areas, 2 colors, suspended in space by use of glass as support",5,1,3,2,0,3,1,0,5,0,0,3,False,False,False,False
80,82,Man Ray,Cadeau ,dada,Tate,America,False,sculpture,"sculpture, iron and nails",18 x 9 x 13 cm,1921,"nails on flat iron surface - combined strange items into objects, unusable functionally, nails would tear clothes",4,0,0,2,0,0,4,0,0,5,5,5,False,False,False,False
81,83,Man Ray,not titled Rayograph,surrealism,Met show,America,False,photography,"photo, gelatin silver print on paper",24 x 18 cm,1922,"rayograph, eerie light, placed objects, hard to tell exactly what they are",3,0,5,0,0,1,3,0,5,5,3,0,False,False,False,False
82,84,Mike Mandel & Larry Sultan, [no title] ,conceptual,Tate,America,False,photography,"photo, gelatin silver print on paper",19 x 24 cm,1977,"image is hard to understand, strange, ambiguous",4,2,2,2,0,0,4,0,0,5,5,3,False,False,False,False
83,85,Yves Klein,Leap into the Void ,conceptual,Tate Liverpool,France,False,photography,"photo, gelatin silver print on paper",26 x 20 cm,1960,"photomontage of performance, is this real?",5,0,0,0,0,2,2,0,0,5,5,0,False,False,False,False
84,86,Piero Manzoni,Artist’s Shit,conceptual,Tate,Italy,True,sculpture,"sculpture, tin can, printed paper & excrement",5 x 7 x 7 cm,1961,"intimation of what's inside through title, needs title to convey uncertainty, is it what it says it is?",5,0,0,1,0,0,2,0,3,5,5,5,False,False,False,True
85,87,Brice Marden,"Cold Mountain Series, Zen Study 6",minimalism,Tate,America,False,print,"print, etching & aquatint on paper",53 x 69 cm,1991,"exploratory, spare line, quality of mark made by hand, hesitancy",1,0,1,2,0,2,5,0,5,0,0,0,False,False,False,False
86,88,Agnes Martin,Untitled #10,minimalism,Tate,America,False,painting,"painting, acrylic paint & graphite on canvas",152 x 152 cm,1995,"light, small brushmarks, very diluted paint, repetition, creating subtly moving surface, nuances of tonal variation, susceptible to light conditions: surface changing",2,0,5,2,1,1,1,0,5,5,0,0,False,False,False,False
87,89,Kenneth Martin,"Chance and Order Group VII, Drawing 6",constructivism,Tate,UK,True,painting,"painting, crayon, graphite, watercolour on paper",34 x 23 cm,1971,"use of chance to make drawing, use of overlapping, interlocking thick color lines",4,0,1,1,2,4,0,3,5,0,0,0,False,False,False,True
88,90,Mary Martin,nversions,constructivism,Tate,UK,False,sculpture,"sculpture, aluminium, oil paint & wood",183 x 732 x 28 cm,1966,"96 angled reflective metal planes, huge size, in sequence of permutations, which are repeated backwards as the Û÷inversionsÛª ",2,1,2,2,0,5,1,0,0,5,0,5,False,False,True,False
89,91,Gordon Matta-Clark,Bronx Floors: Threshole ,minimalism,Tate,America,False,photography,"photo, 2 photos",2 photos (rhs) each 36 x 51 cm,1972,"strange viewpoints thro buildings w/ cut out shapes give partial views, collage of photos, combination of spaces ",4,0,1,0,0,4,0,0,0,5,5,3,False,False,False,False
90,92,Dora Maurer,Reversible and changeable phases of movement etude 3,conceptual,"e-flux, also in Tate",Hungary,True,photography,"photo, gelatin silver prints & chalk / graphite on paper",70 x 100 cmÛ¬,1973,"multiple images, w/ & w/out hands, placement of ball in relation to hands and to containing square, repetition, ball in some shots, some w/ hands and no ball, some empty, sense of movement",5,1,1,0,0,2,2,0,0,5,5,3,False,False,False,True
91,93,Josiah McElheny,"Twentieth Century Modernism, Mirrored and Reflected Infinitely",conceptual,Andrea Rosen Gallery (also Tate),America,False,sculpture,"sculpture, handblown mirrored glass, display structure, transparent mirror, lighting",79 x 478 x 48 cm,2006,"mirrored glass gives infinity aspect, siting of glass in relation to mirror creating illusion of deep receeding space",5,0,2,2,0,0,1,0,0,5,5,5,False,False,True,False
92,94,Bruce McLean,Six Sculptures,conceptual,Tate,UK,True,photography,"photo, 6 photos, gelatin silver prints on paper, & typed captions",51 x 79 cm,1968,"multiple, transitory sculptures, named, e.g. 'floataway sculpture..' 'mud sculpture ..', what is it, what is the art, sculpture in landscape, image shows texture & placement in landscape",4,0,1,4,0,2,2,0,0,5,5,3,False,False,False,True
93,95,David Medalla,Cloud Windows,kinetic art,Kinetic Art fair (also Tate),Philippines,False,sculpture,"sculpture, wood, formica w/ bubble-generating machine",dimensions variable (installed in room),1966,"bubbles moving up, dispersing, will bubbles spill out, temporary, motion. If take out the bubbly, aerated, morphing foam, the piece would loose its sense of uncertainty, the texture of the foam in relation to the plastic structure and the confines of that is paramount",0,0,1,5,0,0,2,0,0,5,0,5,False,True,False,False
94,96,Julie Mehretu,Black City ,abstraction,White Cube Gallery (also Tate),America,False,painting,"painting, ink & acrylic on canvas",305 x 488 cm,2007,"layering of lines & shapes w/ semi-see through paint to create space, lines angled as if spinning from center out, spatial depth, ambiguous",3,2,2,2,1,4,3,3,5,5,0,3,False,False,False,False
95,97,Marisa Merz,Untitled (Living Sculpture) ,arte povera,Tate,Italy,False,sculpture,"sculpture, aluminium",dimensions variable (installed in room),1966,"suspended aluminum from ceiling, hanging, is it heavy, will it fall",5,0,1,1,0,3,1,0,0,5,0,5,False,False,False,False
96,98,Gustav Metzger,Liquid Crystal Environment ,,Tate,Germany,False,installation,"projection, 5 control units, liquid crystals and slide, 35 mm, 5 projections","5 projections, dimensions variable, 22 min display",1965,"22 minutes duration, movement / sense of movement; scale: heat-sensitive liquid crystals bet glass slides, inserted into projectors, slides are rotated",3,2,4,3,3,0,3,0,0,5,0,5,False,True,False,False
97,99,Henri Michaux,[no title],,Tate,Belgium,False,print,"print, lithograph on paper",47 x 65 cm,1975,"complex shape/lines curving upwards / downwards, hard to tell what the marks are, suggestive of space",1,0,2,1,0,5,3,0,5,5,0,0,False,False,False,False
98,100,John Everett Millais,Ophelia ,pre-raphaelite,Tate,UK,False,painting,"painting, oil on canvas",76 x 112 cm,1852,"figure lying in water, realistic paint handling, iconic image, uses representation to convey meaning",4,0,0,0,0,3,3,0,0,5,5,3,False,False,False,False
99,101,Joan Miro,Painting ,surrealism,Tate,Spain,False,painting,"painting, tempera & oil on canvas",97 x 130 cm,1927,"specific enigmatic shapes, outlines suspended on blue ground, surreal shapes & space, hard to fully tell what these are and how they relate",3,2,1,1,2,0,5,0,5,5,0,0,False,False,False,False
100,102,Joan Mitchell,Sides of a River II,abstraction,Tate,America,False,print,"print, lithograph on paper",101 x 75 cm,1981,"markmaking, agitated lines some angular, predominantly in 2 colors, black at bottom & at top suspended ",4,0,1,1,2,1,4,0,5,0,0,3,False,False,False,False
101,103,François Morellet,Pier and Ocean,minimalism,kamelmennour.com  (also Tate),France,False,installation,"installation, 38 blue argon neon tubes that turn on and off & wooden pier ",Variable dimensions - length 150 cm each tube,2014,"lights, turn on and off, different angles, suspended in space and around room, use of specific blue color light - kinetic; if removed the light from this work and switched on the overhead lights, the mystery and strangeness of this work and the space would change",3,1,5,0,1,2,0,0,5,5,0,5,False,True,False,False
102,104,Robert Morris,Untitled,minimalism,Tate,America,False,sculpture,"sculpture, fibreglass & nylon threads",46 x 244 x 244 cm,1968,"seemingly heavy large object suspended, unknown shape",5,2,0,2,0,0,1,0,0,5,0,5,False,False,False,False
103,105,Paul Nash ,Landscape from a Dream ,surrealism,Tate,UK,False,painting,"painting, oil on canvas",68 x 102 cm,1938,"strange combination of odd objects, repeating images, reflection, space, iconography",4,2,0,0,0,0,4,0,0,5,5,3,False,False,False,False
104,106,Bruce Nauman,Dance or Exercise on the Perimeter of a Square (Square Dance)    ,conceptual,MACBA Collection also Tate,America,False,video_film,"video, 16 mm film transferred to video, b/w, sound",8 min video,1968,"performance on perimeter of square, video of performance - repetitive movement defining space from center to corner defined only by length of stride; facing outwards, then facing inwards. Odd, inquiring, uncertain about what is going to happen and what this is about, art as process",4,0,0,0,0,2,2,0,5,5,5,5,False,True,False,False
105,107,Mike Nelson,A Psychic Vacuum ,conceptual,"303 Gallery, also Tate",UK,False,installation,"installation, sand","disused interior of the Essex Street Market, series of reconstructed rooms and passageways- this view is one large room installation",2007,"converted derelict market into maze of constructed rooms, passageways, filled main space w/ huge amount of sand so that it was part way up the columns, sloping upwards as if a hill. Uncertain as to what and why and how this had come about",4,4,0,4,0,0,2,0,0,5,5,5,False,False,False,False
106,108,Avis Newman,Meridians VIII ,abstraction,Tate,UK,False,painting,"painting, acrylic paint & chalk on canvas",254 x 254 x 7 cm,1998,"in and out of focus; fuzzy, cloud-like field overlaid with sharper b&w lines scratched into surface, take away the texture out of focus dimension and the uncertainty of what this piece is and especially what the depth is would shift significantly",2,2,3,5,0,2,2,0,5,5,3,3,False,False,False,False
107,109,Winifred Nicholson,Quarante Huit Quai d’Auteuil ,modernism,Tate,UK,False,painting,"painting, oil on board",68 x 100 cm,1935,"very light in tone, few shapes, precisely placed, vary in size, hard to tell orientation or what this refers to ",4,4,3,0,0,1,4,0,3,5,0,0,False,False,False,False
108,110,Albert Oehlen,More Fire and Ice,conceptual,NYT also Tate,Germany,False,painting,"painting, mixed media on canvas",351 x 340 cm,2001,"mixes images & abstract & spaces and lines & areas; poured, sprayed, paint applied in multiple semi-transparent layers, from all directions",3,0,4,4,0,4,3,0,5,5,3,3,False,False,False,False
109,111,Chris Ofili,Afrodizzia,conceptual,Saatchi also Tate,UK,True,painting,"painting, oil, paper collage, glitter, polyester resin, map pins & elephant dung on linen", 244 x 183 cm,1996,"parallel curved lines around dozens of cut-out photos of Miles Davis, Diana Ross, James Brown, Cassius Clay etc, different sizes, repetition, morphing spaces, patterning. Painting leans against wall on elephant dung. Complex.",4,4,0,3,0,3,4,5,5,5,5,3,False,False,False,True
110,112,Hélio Oiticica,Grand Nucleus (Grande Núcleo) ,Neo-Concrete Movement,Tate,Brazil,False,installation,"installation, double-sided hanging painted wood panels, varying sizes",670 x 975 cm,1966,"suspended panels, seemingly floating, walk among them, sense of exploded space",4,1,0,0,1,2,1,0,0,5,0,5,False,False,False,False
111,113,Claes Oldenburg and Coosje van Bruggen,Soft Viola ,,Whitney also in Tate,America,False,sculpture,"sculpture, canvas, resin, rope, & metal painted with latex",264 ÌÑ 152 ÌÑ 56 cm,2002,"gravity on soft object hung on a wall that is usually hard, floppiness of the object that in real life has different properties",2,0,0,4,0,4,4,0,5,5,5,5,False,False,False,False
112,114,Jules Olitski,Sahny-7,abstraction,Mutual Art also in Tate,America,False,painting,"painting, acrylic on canvas",165 x 114 cm,1975,"splattered paint shapes on textural ground, splattering, spatial, indeterminate space",4,1,0,4,0,0,4,3,3,5,0,3,False,False,False,False
113,115,Gabriel Orozco,River Rocks Eroded,conceptual,White Cube Gallery (also Tate),Mexico,False,painting,"painting, acrylic on canvas",137 x 90 cm,2011,"dots over indeterminate shapes, sense of what shapes are behind 'grid' layer",4,2,2,2,2,0,4,5,0,5,0,3,False,False,False,False
114,116,Alistair Park,1. 9,representation,Tate,UK,False,print,"print, lithograph on paper",56 x 44 cm,1974,"right side is out of focus, stooped figure is moving, halfway out of frame, empty center, b & w, what is the narrative",4,0,2,2,0,0,4,0,3,5,5,0,False,False,False,False
115,117,Cornelia Parker,Cold Dark Matter: An Exploded View ,conceptual,Tate,UK,False,installation,"installation, wood, metal, plastic, ceramic, paper, textile & wire",400 x 500 x 500 cm,1991,"parts from blown up shed suspended and lit to create shadows, what occurred? what are the elements?",4,0,2,0,0,2,4,0,5,5,5,5,False,False,False,False
116,118,Oliver Payne and Nick Relph,Master Friday ,postmod,Tate,UK,False,print,"print, digital print on paper",60 x 42 cm,2008,"2 tone, overlayering, repetition of 2 elements in relation to each other, facing different  directions, suggests movement, probably not uncertain but interesting use of repetition & overlap which could all be used to suggest uncertainty",5,0,1,0,0,1,2,0,3,5,5,0,False,False,False,False
117,119,Giuseppe Penone,Study for ‘Breath of Clay’ ,arte povera,Tate,Italy,False,drawing,"drawing, coffee, graphite & ink on paper",76 x 57 cm,1978,"differences in transparency, thin wash of coffee & ink, sense of liquid, staining, pour, shape in the space of the paper, hard to tell what this is",1,0,0,4,0,0,4,0,0,5,0,0,False,False,False,False
118,120,Roland Penrose,House the Light-house ,surrealism,Tate,UK,False,painting,"painting, gouache, graphite, ink & postcards on paper",59 x 84 cm,1983,"collage, composition of different shapes, textures, images, surreal effect",2,0,0,1,0,2,4,0,0,5,3,3,False,False,False,False
119,121,Margot Perryman,Arcade ,abstraction,Tate,UK,False,painting,"painting, acrylic on canvas",173 x 147 cm,1969,"flat color planes, angle on yellow one, empty, odd, ambiguous space, seemingly simple",4,0,0,0,0,1,4,0,0,5,3,0,False,False,False,False
