,s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,notes,pl,si,va,te,co,or,sh,po,li,ar,re,sp,ma,ki,rf,tx
373,375,Jacques Villon,Interior,,MoMA,France,False,drawing,"drawing, ink on paper",23 x 17 cm,1950,"overlayering, cross hatching, use of blank space, lightness, cross hatch layer all over the drawing, lightweight marks only lines, no areas only light parallel lines, some marks more scribbled, loops, energetic handdrawn marks",1,0,4,3,0,2,3,0,0,5,5,5,False,False,False,False
374,376,Naum Gabo ,"Linear Construction in Space no. 3, with Red",constructivism,MoMA,Russia / America,False,sculpture,"sculpture, plexiglass & nylon wire, with aluminum base",73 x 46 x 47 cm,1953,"construction, use of transparent materials, transparent plexi w/ red plexi, wavy strips as if floating material in wind winding around, wrapped, opposite of solid sculpture, large part of the piece is open spaces, view from all sides, delicacy, interdeterminance, form achieved through description of space rather than mass",1,0,4,2,0,1,3,0,3,5,0,5,False,False,False,False
375,377,Natalia Goncharova,Composition,,MoMA,Russia,False,painting,"painting, watercolor on paper",28 x 20 cm,1920,"steep angle of image to picture plane, parallel repeated images at very steep angle as if they are slipping off the painting, top part is in browns only (reflected / sky?), descriptions are on multi-islands, partly connected, unusual orientation for landscape, some brushmarks mark edge of shapes, some more liquid areas merge a little",3,1,3,0,0,5,3,3,3,5,5,3,False,False,False,False
376,378,Juan Gris,Breakfast,cubism,MoMA,France,False,painting,"painting, gouache, oil, & crayon on cut-&-pasted printed paper on canvas w/ oil & crayon",81 x 60 cm,1914,"juxtaposition, papier collÌ©, sharp divisions in different planes, shading, hard to tell where things are in space or what is actually there, are items repeated twice?, things which are behind seem to end up on top",4,0,1,0,0,4,3,0,3,5,5,0,False,False,False,False
377,379,Odilon Redon ,Apparition in the Window,,MoMA,France,False,drawing,"drawing, charcoal & chalk on paper",46 x 31 cm,c. 1892,"lighter to denote apparition, charcoal for darker window edge, texture marks w/ charcoal, chalk for much lighter drawing, landscape & large figure, to suggest what might be there; symbolist painter",1,3,5,2,0,0,0,0,5,5,5,3,False,False,False,False
378,380,Pablo Picasso,Still Life with Bottle of Marc (Nature morte à la bouteille de marc),cubism,MoMA,Spain ,True,print,"print, drypoint in black on Arches paper",50 x 31 cm,1911,"repetition of curved lines, angled straight lines, several areas of short energetic almost parallel mark lines that give more volume, broken up words, constructivist, parallel lines describe parts of each element, open structures, parts of forms described but no fully defined forms / volumes, flattish, barely discernable objects",3,3,4,1,0,4,3,0,5,3,3,0,False,False,False,True
379,381,František Kupka,Untitled,,MoMA,Czech Republic,False,drawing,"drawing, colored pencil, pencil, ink, & oil on paper",23 x 16 cm,1930,"repetition, angles, dotted lines, cutout lines, circles, different sized elements, simple & complex, order w/ irregular moments, slight stained lines at angles on paper, what is this, hard to tell spatial angle, from above, buildings / interior / abstract? Large amount of paper left, markmaking evident, edge of lines are slightly wobbly, handmade quality",4,4,2,2,3,2,3,0,5,5,0,0,False,False,False,False
380,382,Georges Braque,Man With a Guitar,cubism,MoMA,France,False,painting,"painting, oil on canvas",116 x 81 cm,1912,"repetition of lines, grouped into shapes, angled darker lines in different orientations, sense of moving planes, dark somber colors overall w/ darker sections w/ a lot of depth & tonal variation, parallel brushstrokes",4,2,4,3,0,4,3,3,5,5,3,0,False,False,False,False
381,383,Paul Cézanne,House Among Trees,,MoMA,France,False,painting,"painting, watercolor & pencil on paper",28 x 44 cm,1900,"grouped into areas, parts unpainted, light washes, sense of light from lower left to upper right, changing the volumes on the objects; watercolors, markmaking, liquid, curved lines, volumes, large amount unpainted, very light values, semi transparent colors over each other, multiple parallel lines finding parts of outlines of shapes, searching quality",2,0,4,3,1,0,2,0,5,5,5,0,False,False,False,False
382,384,Raoul Ubac ,Brûlage,surrealism,Pompidou,Belgium / France,False,photography,"photo, gelatin silver print",24 x 18 cm,1939,"process still, very deep rich blacks, very hard to tell what this is or how it's been made, shapes merge / blur into each other, is this a closeup? changed form by submitting photographic emulsion of the negative to heat of a hot plate, images literally liquified - burning process to randomly transform & alter the image ",1,0,3,3,0,0,4,0,0,5,0,0,False,False,False,False
